instant_daily,dteday,season_daily,mnth_daily,holiday_daily,weekday_daily,workingday_daily,weathersit_daily,temp_daily,atemp_daily,hum_daily,windspeed_daily,cnt_daily,instant_hourly,season_hourly,mnth_hourly,hr,holiday_hourly,weekday_hourly,workingday_hourly,weathersit_hourly,temp_hourly,atemp_hourly,hum_hourly,windspeed_hourly,cnt_hourly
2,2011-01-02,Spring,Jan,0,0,0,2,0.363478,0.353739,0.696087,0.248539,801,37,Spring,Jan,13,0,0,0,2,0.36,0.3485,0.66,0.1343,75
2,2011-01-02,Spring,Jan,0,0,0,2,0.363478,0.353739,0.696087,0.248539,801,38,Spring,Jan,14,0,0,0,3,0.36,0.3485,0.76,0.194,59
2,2011-01-02,Spring,Jan,0,0,0,2,0.363478,0.353739,0.696087,0.248539,801,39,Spring,Jan,15,0,0,0,3,0.34,0.3333,0.81,0.1642,74
2,2011-01-02,Spring,Jan,0,0,0,2,0.363478,0.353739,0.696087,0.248539,801,40,Spring,Jan,16,0,0,0,3,0.34,0.3333,0.71,0.1642,76
2,2011-01-02,Spring,Jan,0,0,0,2,0.363478,0.353739,0.696087,0.248539,801,41,Spring,Jan,17,0,0,0,1,0.34,0.3333,0.57,0.194,65
2,2011-01-02,Spring,Jan,0,0,0,2,0.363478,0.353739,0.696087,0.248539,801,42,Spring,Jan,18,0,0,0,2,0.36,0.3333,0.46,0.3284,53
2,2011-01-02,Spring,Jan,0,0,0,2,0.363478,0.353739,0.696087,0.248539,801,43,Spring,Jan,19,0,0,0,1,0.32,0.2879,0.42,0.4478,30
2,2011-01-02,Spring,Jan,0,0,0,2,0.363478,0.353739,0.696087,0.248539,801,44,Spring,Jan,20,0,0,0,1,0.3,0.2727,0.39,0.3582,22
2,2011-01-02,Spring,Jan,0,0,0,2,0.363478,0.353739,0.696087,0.248539,801,45,Spring,Jan,21,0,0,0,1,0.26,0.2273,0.44,0.3284,31
2,2011-01-02,Spring,Jan,0,0,0,2,0.363478,0.353739,0.696087,0.248539,801,46,Spring,Jan,22,0,0,0,1,0.24,0.2121,0.44,0.2985,9
2,2011-01-02,Spring,Jan,0,0,0,2,0.363478,0.353739,0.696087,0.248539,801,47,Spring,Jan,23,0,0,0,1,0.22,0.2273,0.47,0.1642,8
3,2011-01-03,Spring,Jan,0,1,1,1,0.196364,0.189405,0.437273,0.248309,1349,48,Spring,Jan,0,0,1,1,1,0.22,0.197,0.44,0.3582,5
3,2011-01-03,Spring,Jan,0,1,1,1,0.196364,0.189405,0.437273,0.248309,1349,49,Spring,Jan,1,0,1,1,1,0.2,0.1667,0.44,0.4179,2
3,2011-01-03,Spring,Jan,0,1,1,1,0.196364,0.189405,0.437273,0.248309,1349,50,Spring,Jan,4,0,1,1,1,0.16,0.1364,0.47,0.3881,1
3,2011-01-03,Spring,Jan,0,1,1,1,0.196364,0.189405,0.437273,0.248309,1349,51,Spring,Jan,5,0,1,1,1,0.16,0.1364,0.47,0.2836,3
3,2011-01-03,Spring,Jan,0,1,1,1,0.196364,0.189405,0.437273,0.248309,1349,52,Spring,Jan,6,0,1,1,1,0.14,0.1061,0.5,0.3881,30
3,2011-01-03,Spring,Jan,0,1,1,1,0.196364,0.189405,0.437273,0.248309,1349,53,Spring,Jan,7,0,1,1,1,0.14,0.1364,0.5,0.194,64
3,2011-01-03,Spring,Jan,0,1,1,1,0.196364,0.189405,0.437273,0.248309,1349,54,Spring,Jan,8,0,1,1,1,0.14,0.1212,0.5,0.2836,154
3,2011-01-03,Spring,Jan,0,1,1,1,0.196364,0.189405,0.437273,0.248309,1349,55,Spring,Jan,9,0,1,1,1,0.16,0.1364,0.43,0.3881,88
3,2011-01-03,Spring,Jan,0,1,1,1,0.196364,0.189405,0.437273,0.248309,1349,56,Spring,Jan,10,0,1,1,1,0.18,0.1667,0.43,0.2537,44
3,2011-01-03,Spring,Jan,0,1,1,1,0.196364,0.189405,0.437273,0.248309,1349,57,Spring,Jan,11,0,1,1,1,0.2,0.1818,0.4,0.3284,51
3,2011-01-03,Spring,Jan,0,1,1,1,0.196364,0.189405,0.437273,0.248309,1349,58,Spring,Jan,12,0,1,1,1,0.22,0.2121,0.35,0.2985,61
3,2011-01-03,Spring,Jan,0,1,1,1,0.196364,0.189405,0.437273,0.248309,1349,59,Spring,Jan,13,0,1,1,1,0.24,0.2121,0.35,0.2836,61
3,2011-01-03,Spring,Jan,0,1,1,1,0.196364,0.189405,0.437273,0.248309,1349,60,Spring,Jan,14,0,1,1,1,0.26,0.2424,0.3,0.2836,77
3,2011-01-03,Spring,Jan,0,1,1,1,0.196364,0.189405,0.437273,0.248309,1349,61,Spring,Jan,15,0,1,1,1,0.26,0.2424,0.3,0.2537,72
3,2011-01-03,Spring,Jan,0,1,1,1,0.196364,0.189405,0.437273,0.248309,1349,62,Spring,Jan,16,0,1,1,1,0.26,0.2424,0.3,0.2537,76
3,2011-01-03,Spring,Jan,0,1,1,1,0.196364,0.189405,0.437273,0.248309,1349,63,Spring,Jan,17,0,1,1,1,0.24,0.2273,0.3,0.2239,157
3,2011-01-03,Spring,Jan,0,1,1,1,0.196364,0.189405,0.437273,0.248309,1349,64,Spring,Jan,18,0,1,1,1,0.24,0.2576,0.32,0.1045,157
3,2011-01-03,Spring,Jan,0,1,1,1,0.196364,0.189405,0.437273,0.248309,1349,65,Spring,Jan,19,0,1,1,1,0.2,0.2576,0.47,0.0,110
3,2011-01-03,Spring,Jan,0,1,1,1,0.196364,0.189405,0.437273,0.248309,1349,66,Spring,Jan,20,0,1,1,1,0.2,0.2273,0.47,0.1045,52
3,2011-01-03,Spring,Jan,0,1,1,1,0.196364,0.189405,0.437273,0.248309,1349,67,Spring,Jan,21,0,1,1,1,0.18,0.197,0.64,0.1343,52
3,2011-01-03,Spring,Jan,0,1,1,1,0.196364,0.189405,0.437273,0.248309,1349,68,Spring,Jan,22,0,1,1,1,0.14,0.1515,0.69,0.1343,20
3,2011-01-03,Spring,Jan,0,1,1,1,0.196364,0.189405,0.437273,0.248309,1349,69,Spring,Jan,23,0,1,1,1,0.18,0.2121,0.55,0.1045,12
4,2011-01-04,Spring,Jan,0,2,1,1,0.2,0.212122,0.590435,0.160296,1562,70,Spring,Jan,0,0,2,1,1,0.16,0.1818,0.55,0.1045,5
4,2011-01-04,Spring,Jan,0,2,1,1,0.2,0.212122,0.590435,0.160296,1562,71,Spring,Jan,1,0,2,1,1,0.16,0.1818,0.59,0.1045,2
4,2011-01-04,Spring,Jan,0,2,1,1,0.2,0.212122,0.590435,0.160296,1562,72,Spring,Jan,2,0,2,1,1,0.14,0.1515,0.63,0.1343,1
4,2011-01-04,Spring,Jan,0,2,1,1,0.2,0.212122,0.590435,0.160296,1562,73,Spring,Jan,4,0,2,1,1,0.14,0.1818,0.63,0.0896,2
4,2011-01-04,Spring,Jan,0,2,1,1,0.2,0.212122,0.590435,0.160296,1562,74,Spring,Jan,5,0,2,1,1,0.12,0.1515,0.68,0.1045,4
4,2011-01-04,Spring,Jan,0,2,1,1,0.2,0.212122,0.590435,0.160296,1562,75,Spring,Jan,6,0,2,1,1,0.12,0.1515,0.74,0.1045,36
4,2011-01-04,Spring,Jan,0,2,1,1,0.2,0.212122,0.590435,0.160296,1562,76,Spring,Jan,7,0,2,1,1,0.12,0.1515,0.74,0.1343,94
4,2011-01-04,Spring,Jan,0,2,1,1,0.2,0.212122,0.590435,0.160296,1562,77,Spring,Jan,8,0,2,1,1,0.14,0.1515,0.69,0.1642,179
4,2011-01-04,Spring,Jan,0,2,1,1,0.2,0.212122,0.590435,0.160296,1562,78,Spring,Jan,9,0,2,1,1,0.16,0.1515,0.64,0.2239,100
4,2011-01-04,Spring,Jan,0,2,1,1,0.2,0.212122,0.590435,0.160296,1562,79,Spring,Jan,10,0,2,1,2,0.16,0.1364,0.69,0.3284,42
4,2011-01-04,Spring,Jan,0,2,1,1,0.2,0.212122,0.590435,0.160296,1562,80,Spring,Jan,11,0,2,1,1,0.22,0.2121,0.51,0.2985,57
4,2011-01-04,Spring,Jan,0,2,1,1,0.2,0.212122,0.590435,0.160296,1562,81,Spring,Jan,12,0,2,1,1,0.22,0.2273,0.51,0.1642,78
4,2011-01-04,Spring,Jan,0,2,1,1,0.2,0.212122,0.590435,0.160296,1562,82,Spring,Jan,13,0,2,1,1,0.24,0.2273,0.56,0.194,97
4,2011-01-04,Spring,Jan,0,2,1,1,0.2,0.212122,0.590435,0.160296,1562,83,Spring,Jan,14,0,2,1,1,0.26,0.2576,0.52,0.2239,63
4,2011-01-04,Spring,Jan,0,2,1,1,0.2,0.212122,0.590435,0.160296,1562,84,Spring,Jan,15,0,2,1,1,0.28,0.2727,0.52,0.2537,65
4,2011-01-04,Spring,Jan,0,2,1,1,0.2,0.212122,0.590435,0.160296,1562,85,Spring,Jan,16,0,2,1,1,0.3,0.2879,0.49,0.2537,83
4,2011-01-04,Spring,Jan,0,2,1,1,0.2,0.212122,0.590435,0.160296,1562,86,Spring,Jan,17,0,2,1,1,0.28,0.2727,0.48,0.2239,212
4,2011-01-04,Spring,Jan,0,2,1,1,0.2,0.212122,0.590435,0.160296,1562,87,Spring,Jan,18,0,2,1,1,0.26,0.2576,0.48,0.194,182
4,2011-01-04,Spring,Jan,0,2,1,1,0.2,0.212122,0.590435,0.160296,1562,88,Spring,Jan,19,0,2,1,1,0.24,0.2576,0.48,0.1045,112
4,2011-01-04,Spring,Jan,0,2,1,1,0.2,0.212122,0.590435,0.160296,1562,89,Spring,Jan,20,0,2,1,1,0.24,0.2576,0.48,0.1045,54
4,2011-01-04,Spring,Jan,0,2,1,1,0.2,0.212122,0.590435,0.160296,1562,90,Spring,Jan,21,0,2,1,1,0.22,0.2727,0.64,0.0,48
4,2011-01-04,Spring,Jan,0,2,1,1,0.2,0.212122,0.590435,0.160296,1562,91,Spring,Jan,22,0,2,1,1,0.22,0.2576,0.64,0.0896,35
4,2011-01-04,Spring,Jan,0,2,1,1,0.2,0.212122,0.590435,0.160296,1562,92,Spring,Jan,23,0,2,1,1,0.2,0.2273,0.69,0.0896,11
5,2011-01-05,Spring,Jan,0,3,1,1,0.226957,0.22927,0.436957,0.1869,1600,93,Spring,Jan,0,0,3,1,1,0.2,0.2576,0.64,0.0,6
5,2011-01-05,Spring,Jan,0,3,1,1,0.226957,0.22927,0.436957,0.1869,1600,94,Spring,Jan,1,0,3,1,1,0.16,0.197,0.74,0.0896,6
5,2011-01-05,Spring,Jan,0,3,1,1,0.226957,0.22927,0.436957,0.1869,1600,95,Spring,Jan,2,0,3,1,1,0.16,0.197,0.74,0.0896,2
5,2011-01-05,Spring,Jan,0,3,1,1,0.226957,0.22927,0.436957,0.1869,1600,96,Spring,Jan,4,0,3,1,1,0.24,0.2273,0.48,0.2239,2
5,2011-01-05,Spring,Jan,0,3,1,1,0.226957,0.22927,0.436957,0.1869,1600,97,Spring,Jan,5,0,3,1,1,0.22,0.2273,0.47,0.1642,3
5,2011-01-05,Spring,Jan,0,3,1,1,0.226957,0.22927,0.436957,0.1869,1600,98,Spring,Jan,6,0,3,1,1,0.2,0.197,0.47,0.2239,33
5,2011-01-05,Spring,Jan,0,3,1,1,0.226957,0.22927,0.436957,0.1869,1600,99,Spring,Jan,7,0,3,1,1,0.18,0.1818,0.43,0.194,88
5,2011-01-05,Spring,Jan,0,3,1,1,0.226957,0.22927,0.436957,0.1869,1600,100,Spring,Jan,8,0,3,1,1,0.2,0.1818,0.4,0.2985,195
5,2011-01-05,Spring,Jan,0,3,1,1,0.226957,0.22927,0.436957,0.1869,1600,101,Spring,Jan,9,0,3,1,1,0.22,0.197,0.37,0.3284,115
5,2011-01-05,Spring,Jan,0,3,1,1,0.226957,0.22927,0.436957,0.1869,1600,102,Spring,Jan,10,0,3,1,1,0.22,0.197,0.37,0.3284,57
5,2011-01-05,Spring,Jan,0,3,1,1,0.226957,0.22927,0.436957,0.1869,1600,103,Spring,Jan,11,0,3,1,1,0.26,0.2273,0.33,0.3284,46
5,2011-01-05,Spring,Jan,0,3,1,1,0.226957,0.22927,0.436957,0.1869,1600,104,Spring,Jan,12,0,3,1,1,0.26,0.2273,0.33,0.3284,79
5,2011-01-05,Spring,Jan,0,3,1,1,0.226957,0.22927,0.436957,0.1869,1600,105,Spring,Jan,13,0,3,1,1,0.28,0.2576,0.3,0.2985,71
5,2011-01-05,Spring,Jan,0,3,1,1,0.226957,0.22927,0.436957,0.1869,1600,106,Spring,Jan,14,0,3,1,1,0.3,0.2879,0.28,0.194,62
5,2011-01-05,Spring,Jan,0,3,1,1,0.226957,0.22927,0.436957,0.1869,1600,107,Spring,Jan,15,0,3,1,1,0.3,0.2879,0.28,0.194,62
5,2011-01-05,Spring,Jan,0,3,1,1,0.226957,0.22927,0.436957,0.1869,1600,108,Spring,Jan,16,0,3,1,1,0.3,0.3182,0.28,0.0896,89
5,2011-01-05,Spring,Jan,0,3,1,1,0.226957,0.22927,0.436957,0.1869,1600,109,Spring,Jan,17,0,3,1,1,0.24,0.2273,0.38,0.194,190
5,2011-01-05,Spring,Jan,0,3,1,1,0.226957,0.22927,0.436957,0.1869,1600,110,Spring,Jan,18,0,3,1,1,0.24,0.2424,0.38,0.1343,169
5,2011-01-05,Spring,Jan,0,3,1,1,0.226957,0.22927,0.436957,0.1869,1600,111,Spring,Jan,19,0,3,1,1,0.24,0.2576,0.38,0.1045,132
5,2011-01-05,Spring,Jan,0,3,1,1,0.226957,0.22927,0.436957,0.1869,1600,112,Spring,Jan,20,0,3,1,1,0.22,0.2273,0.47,0.1642,89
5,2011-01-05,Spring,Jan,0,3,1,1,0.226957,0.22927,0.436957,0.1869,1600,113,Spring,Jan,21,0,3,1,1,0.2,0.197,0.51,0.194,43
5,2011-01-05,Spring,Jan,0,3,1,1,0.226957,0.22927,0.436957,0.1869,1600,114,Spring,Jan,22,0,3,1,1,0.18,0.197,0.55,0.1343,42
5,2011-01-05,Spring,Jan,0,3,1,1,0.226957,0.22927,0.436957,0.1869,1600,115,Spring,Jan,23,0,3,1,1,0.2,0.2576,0.47,0.0,19
6,2011-01-06,Spring,Jan,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,1606,116,Spring,Jan,0,0,4,1,1,0.18,0.2424,0.55,0.0,11
6,2011-01-06,Spring,Jan,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,1606,117,Spring,Jan,1,0,4,1,1,0.16,0.2273,0.64,0.0,4
6,2011-01-06,Spring,Jan,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,1606,118,Spring,Jan,2,0,4,1,1,0.16,0.2273,0.64,0.0,2
6,2011-01-06,Spring,Jan,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,1606,119,Spring,Jan,4,0,4,1,2,0.16,0.197,0.64,0.0896,1
6,2011-01-06,Spring,Jan,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,1606,120,Spring,Jan,5,0,4,1,2,0.14,0.1818,0.69,0.0896,4
6,2011-01-06,Spring,Jan,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,1606,121,Spring,Jan,6,0,4,1,2,0.14,0.1667,0.63,0.1045,36
6,2011-01-06,Spring,Jan,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,1606,122,Spring,Jan,7,0,4,1,2,0.16,0.2273,0.59,0.0,95
6,2011-01-06,Spring,Jan,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,1606,123,Spring,Jan,8,0,4,1,1,0.16,0.2273,0.59,0.0,219
6,2011-01-06,Spring,Jan,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,1606,124,Spring,Jan,9,0,4,1,2,0.18,0.2424,0.51,0.0,122
6,2011-01-06,Spring,Jan,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,1606,125,Spring,Jan,10,0,4,1,1,0.2,0.2576,0.47,0.0,45
6,2011-01-06,Spring,Jan,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,1606,126,Spring,Jan,11,0,4,1,1,0.22,0.2576,0.44,0.0896,59
6,2011-01-06,Spring,Jan,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,1606,127,Spring,Jan,12,0,4,1,1,0.26,0.2879,0.35,0.0,84
6,2011-01-06,Spring,Jan,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,1606,128,Spring,Jan,13,0,4,1,1,0.26,0.2727,0.35,0.1045,67
6,2011-01-06,Spring,Jan,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,1606,129,Spring,Jan,14,0,4,1,1,0.28,0.2727,0.36,0.1642,70
6,2011-01-06,Spring,Jan,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,1606,130,Spring,Jan,15,0,4,1,1,0.28,0.2727,0.36,0.0,62
6,2011-01-06,Spring,Jan,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,1606,131,Spring,Jan,16,0,4,1,1,0.26,0.2576,0.38,0.1642,86
6,2011-01-06,Spring,Jan,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,1606,132,Spring,Jan,17,0,4,1,1,0.22,0.2273,0.51,0.1642,172
6,2011-01-06,Spring,Jan,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,1606,133,Spring,Jan,18,0,4,1,1,0.22,0.2273,0.51,0.1343,163
6,2011-01-06,Spring,Jan,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,1606,134,Spring,Jan,19,0,4,1,1,0.22,0.2576,0.55,0.0896,112
6,2011-01-06,Spring,Jan,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,1606,135,Spring,Jan,20,0,4,1,1,0.2,0.2121,0.51,0.1642,69
6,2011-01-06,Spring,Jan,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,1606,136,Spring,Jan,21,0,4,1,2,0.22,0.2121,0.55,0.2239,48
6,2011-01-06,Spring,Jan,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,1606,137,Spring,Jan,22,0,4,1,2,0.22,0.2121,0.51,0.2836,52
6,2011-01-06,Spring,Jan,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,1606,138,Spring,Jan,23,0,4,1,2,0.2,0.197,0.59,0.194,23
7,2011-01-07,Spring,Jan,0,5,1,2,0.196522,0.208839,0.498696,0.168726,1510,139,Spring,Jan,0,0,5,1,2,0.2,0.197,0.64,0.194,17
7,2011-01-07,Spring,Jan,0,5,1,2,0.196522,0.208839,0.498696,0.168726,1510,140,Spring,Jan,1,0,5,1,2,0.2,0.197,0.69,0.2239,7
7,2011-01-07,Spring,Jan,0,5,1,2,0.196522,0.208839,0.498696,0.168726,1510,141,Spring,Jan,2,0,5,1,2,0.2,0.197,0.69,0.2239,1
7,2011-01-07,Spring,Jan,0,5,1,2,0.196522,0.208839,0.498696,0.168726,1510,142,Spring,Jan,4,0,5,1,2,0.2,0.2121,0.69,0.1343,1
7,2011-01-07,Spring,Jan,0,5,1,2,0.196522,0.208839,0.498696,0.168726,1510,143,Spring,Jan,5,0,5,1,3,0.22,0.2727,0.55,0.0,5
7,2011-01-07,Spring,Jan,0,5,1,2,0.196522,0.208839,0.498696,0.168726,1510,144,Spring,Jan,6,0,5,1,2,0.2,0.2576,0.69,0.0,34
7,2011-01-07,Spring,Jan,0,5,1,2,0.196522,0.208839,0.498696,0.168726,1510,145,Spring,Jan,7,0,5,1,1,0.2,0.2121,0.69,0.1343,84
7,2011-01-07,Spring,Jan,0,5,1,2,0.196522,0.208839,0.498696,0.168726,1510,146,Spring,Jan,8,0,5,1,1,0.2,0.197,0.51,0.2537,210
7,2011-01-07,Spring,Jan,0,5,1,2,0.196522,0.208839,0.498696,0.168726,1510,147,Spring,Jan,9,0,5,1,1,0.2,0.1818,0.47,0.2985,134
7,2011-01-07,Spring,Jan,0,5,1,2,0.196522,0.208839,0.498696,0.168726,1510,148,Spring,Jan,10,0,5,1,1,0.22,0.197,0.37,0.3284,63
7,2011-01-07,Spring,Jan,0,5,1,2,0.196522,0.208839,0.498696,0.168726,1510,149,Spring,Jan,11,0,5,1,2,0.2,0.197,0.4,0.2239,67
7,2011-01-07,Spring,Jan,0,5,1,2,0.196522,0.208839,0.498696,0.168726,1510,150,Spring,Jan,12,0,5,1,2,0.2,0.197,0.37,0.2537,59
7,2011-01-07,Spring,Jan,0,5,1,2,0.196522,0.208839,0.498696,0.168726,1510,151,Spring,Jan,13,0,5,1,2,0.2,0.1818,0.37,0.2836,73
7,2011-01-07,Spring,Jan,0,5,1,2,0.196522,0.208839,0.498696,0.168726,1510,152,Spring,Jan,14,0,5,1,2,0.2,0.197,0.4,0.2537,50
7,2011-01-07,Spring,Jan,0,5,1,2,0.196522,0.208839,0.498696,0.168726,1510,153,Spring,Jan,15,0,5,1,2,0.2,0.2121,0.37,0.1642,72
7,2011-01-07,Spring,Jan,0,5,1,2,0.196522,0.208839,0.498696,0.168726,1510,154,Spring,Jan,16,0,5,1,2,0.2,0.2121,0.37,0.1642,87
7,2011-01-07,Spring,Jan,0,5,1,2,0.196522,0.208839,0.498696,0.168726,1510,155,Spring,Jan,17,0,5,1,2,0.2,0.2576,0.37,0.0,187
7,2011-01-07,Spring,Jan,0,5,1,2,0.196522,0.208839,0.498696,0.168726,1510,156,Spring,Jan,18,0,5,1,1,0.2,0.2273,0.4,0.0896,123
